,activation_0,activation_1,activation_2,dist,id,vel
36,"[  81.90908051   57.47605515  197.14399719  159.03190613  239.82365417
   59.26770782    4.30014849   52.08164597  233.79252625  199.27278137]","[  6.54206371   1.61365473  17.52445221   4.69141483   5.27519417
   0.14655064   0.25859389   3.50765038   8.21939278  10.69286442]","[ 204.80458069   43.26223755  118.08582306  116.42985535  265.49023438
  281.60562134  197.79325867  420.51144409  251.73426819   42.72870636]",18.9796867371,0,2.0
37,"[  57.47605515  197.14399719  159.03190613  239.82365417   59.26770782
    4.30014849   52.08164597  233.79252625  199.27278137  173.54602051]","[  1.61365473  17.52445221   4.69141483   5.27519417   0.14655064
   0.25859389   3.50765038   8.21939278  10.69286442   7.08445978]","[  43.26223755  118.08582306  116.42985535  265.49023438  281.60562134
  197.79325867  420.51144409  251.73426819   42.72870636  216.34793091]",18.7782974243,0,2.0
38,"[ 197.14399719  159.03190613  239.82365417   59.26770782    4.30014849
   52.08164597  233.79252625  199.27278137  173.54602051   68.17225647]","[ 17.52445221   4.69141483   5.27519417   0.14655064   0.25859389
   3.50765038   8.21939278  10.69286442   7.08445978   8.07762337]","[ 118.08582306  116.42985535  265.49023438  281.60562134  197.79325867
  420.51144409  251.73426819   42.72870636  216.34793091   81.87323761]",18.5763607025,0,2.0
39,"[ 159.03190613  239.82365417   59.26770782    4.30014849   52.08164597
  233.79252625  199.27278137  173.54602051   68.17225647   37.8524437 ]","[  4.69141483   5.27519417   0.14655064   0.25859389   3.50765038
   8.21939278  10.69286442   7.08445978   8.07762337   4.67875719]","[ 116.42985535  265.49023438  281.60562134  197.79325867  420.51144409
  251.73426819   42.72870636  216.34793091   81.87323761  138.92111206]",18.3738098145,0,2.0
40,"[ 239.82365417   59.26770782    4.30014849   52.08164597  233.79252625
  199.27278137  173.54602051   68.17225647   37.8524437   164.95994568]","[  5.27519417   0.14655064   0.25859389   3.50765038   8.21939278
  10.69286442   7.08445978   8.07762337   4.67875719   4.26971388]","[ 265.49023438  281.60562134  197.79325867  420.51144409  251.73426819
   42.72870636  216.34793091   81.87323761  138.92111206  118.81302643]",18.1707839966,0,2.0
41,"[  59.26770782    4.30014849   52.08164597  233.79252625  199.27278137
  173.54602051   68.17225647   37.8524437   164.95994568   19.12376976]","[  0.14655064   0.25859389   3.50765038   8.21939278  10.69286442
   7.08445978   8.07762337   4.67875719   4.26971388   2.42020106]","[ 281.60562134  197.79325867  420.51144409  251.73426819   42.72870636
  216.34793091   81.87323761  138.92111206  118.81302643   81.14518738]",17.9674434662,0,2.0
42,"[   4.30014849   52.08164597  233.79252625  199.27278137  173.54602051
   68.17225647   37.8524437   164.95994568   19.12376976   64.52261353]","[  0.25859389   3.50765038   8.21939278  10.69286442   7.08445978
   8.07762337   4.67875719   4.26971388   2.42020106   2.15112042]","[ 197.79325867  420.51144409  251.73426819   42.72870636  216.34793091
   81.87323761  138.92111206  118.81302643   81.14518738  238.28205872]",17.7640323639,0,2.0
43,"[  52.08164597  233.79252625  199.27278137  173.54602051   68.17225647
   37.8524437   164.95994568   19.12376976   64.52261353   72.71291351]","[  3.50765038   8.21939278  10.69286442   7.08445978   8.07762337
   4.67875719   4.26971388   2.42020106   2.15112042   5.47825098]","[ 420.51144409  251.73426819   42.72870636  216.34793091   81.87323761
  138.92111206  118.81302643   81.14518738  238.28205872  158.68946838]",17.5604152679,0,2.0
44,"[ 233.79252625  199.27278137  173.54602051   68.17225647   37.8524437
  164.95994568   19.12376976   64.52261353   72.71291351  149.85263062]","[  8.21939278  10.69286442   7.08445978   8.07762337   4.67875719
   4.26971388   2.42020106   2.15112042   5.47825098   4.31422091]","[ 251.73426819   42.72870636  216.34793091   81.87323761  138.92111206
  118.81302643   81.14518738  238.28205872  158.68946838  118.18054199]",17.35679245,0,2.0
45,"[ 199.27278137  173.54602051   68.17225647   37.8524437   164.95994568
   19.12376976   64.52261353   72.71291351  149.85263062   50.07365417]","[  1.06928644e+01   7.08445978e+00   8.07762337e+00   4.67875719e+00
   4.26971388e+00   2.42020106e+00   2.15112042e+00   5.47825098e+00
   4.31422091e+00   4.97836620e-03]","[  42.72870636  216.34793091   81.87323761  138.92111206  118.81302643
   81.14518738  238.28205872  158.68946838  118.18054199  179.51094055]",17.1536388397,0,2.0
