,activation_0,activation_1,dist,id,vel,"('activation_2',)"
64,"[ 604.88757324   62.43281555  380.01690674  351.99951172  308.56478882
  303.73782349   42.72944641  284.33294678  138.42773438  280.92169189]","[ 20.26623344   1.24509311  37.02519608  24.25135803  17.4681797
  16.55945969   2.03461528  29.68638039   1.81929696  14.30354404]",12.8036403656,0,2.0,"[ 365.49127197  271.52896118   74.98859406  100.71888733  299.10421753
  189.60203552  262.72592163  157.70167542  275.80697632   67.19212341]"
65,"[  62.43281555  380.01690674  351.99951172  308.56478882  303.73782349
   42.72944641  284.33294678  138.42773438  280.92169189  661.46282959]","[  1.24509311  37.02519608  24.25135803  17.4681797   16.55945969
   2.03461528  29.68638039   1.81929696  14.30354404  35.12424088]",12.5975246429,0,2.0,"[ 271.52896118   74.98859406  100.71888733  299.10421753  189.60203552
  262.72592163  157.70167542  275.80697632   67.19212341  294.54318237]"
66,"[ 380.01690674  351.99951172  308.56478882  303.73782349   42.72944641
  284.33294678  138.42773438  280.92169189  661.46282959  335.73233032]","[ 37.02519608  24.25135803  17.4681797   16.55945969   2.03461528
  29.68638039   1.81929696  14.30354404  35.12424088  12.18164539]",12.3914089203,0,2.0,"[  74.98859406  100.71888733  299.10421753  189.60203552  262.72592163
  157.70167542  275.80697632   67.19212341  294.54318237  266.63516235]"
67,"[ 351.99951172  308.56478882  303.73782349   42.72944641  284.33294678
  138.42773438  280.92169189  661.46282959  335.73233032  507.78720093]","[ 24.25135803  17.4681797   16.55945969   2.03461528  29.68638039
   1.81929696  14.30354404  35.12424088  12.18164539  23.52700615]",12.186009407,0,2.0,"[ 100.71888733  299.10421753  189.60203552  262.72592163  157.70167542
  275.80697632   67.19212341  294.54318237  266.63516235  119.67321014]"
68,"[ 308.56478882  303.73782349   42.72944641  284.33294678  138.42773438
  280.92169189  661.46282959  335.73233032  507.78720093  298.59631348]","[ 17.4681797   16.55945969   2.03461528  29.68638039   1.81929696
  14.30354404  35.12424088  12.18164539  23.52700615  29.85991287]",11.9811058044,0,2.0,"[ 299.10421753  189.60203552  262.72592163  157.70167542  275.80697632
   67.19212341  294.54318237  266.63516235  119.67321014  117.99826813]"
69,"[ 303.73782349   42.72944641  284.33294678  138.42773438  280.92169189
  661.46282959  335.73233032  507.78720093  298.59631348  289.37335205]","[ 16.55945969   2.03461528  29.68638039   1.81929696  14.30354404
  35.12424088  12.18164539  23.52700615  29.85991287  29.34387207]",11.7754144669,0,2.0,"[ 189.60203552  262.72592163  157.70167542  275.80697632   67.19212341
  294.54318237  266.63516235  119.67321014  117.99826813  297.84588623]"
70,"[  42.72944641  284.33294678  138.42773438  280.92169189  661.46282959
  335.73233032  507.78720093  298.59631348  289.37335205  406.39321899]","[  2.03461528  29.68638039   1.81929696  14.30354404  35.12424088
  12.18164539  23.52700615  29.85991287  29.34387207  13.35654068]",11.5701274872,0,2.0,"[ 262.72592163  157.70167542  275.80697632   67.19212341  294.54318237
  266.63516235  119.67321014  117.99826813  297.84588623  231.41435242]"
71,"[ 284.33294678  138.42773438  280.92169189  661.46282959  335.73233032
  507.78720093  298.59631348  289.37335205  406.39321899  558.93029785]","[ 29.68638039   1.81929696  14.30354404  35.12424088  12.18164539
  23.52700615  29.85991287  29.34387207  13.35654068  40.46438217]",11.3636455536,0,2.0,"[ 157.70167542  275.80697632   67.19212341  294.54318237  266.63516235
  119.67321014  117.99826813  297.84588623  231.41435242  196.69496155]"
72,"[ 138.42773438  280.92169189  661.46282959  335.73233032  507.78720093
  298.59631348  289.37335205  406.39321899  558.93029785  510.9644165 ]","[  1.81929696  14.30354404  35.12424088  12.18164539  23.52700615
  29.85991287  29.34387207  13.35654068  40.46438217  25.85759735]",11.1575317383,0,2.0,"[ 275.80697632   67.19212341  294.54318237  266.63516235  119.67321014
  117.99826813  297.84588623  231.41435242  196.69496155  362.87936401]"
73,"[ 280.92169189  661.46282959  335.73233032  507.78720093  298.59631348
  289.37335205  406.39321899  558.93029785  510.9644165   557.60632324]","[ 14.30354404  35.12424088  12.18164539  23.52700615  29.85991287
  29.34387207  13.35654068  40.46438217  25.85759735  36.7643013 ]",10.9507484436,0,2.0,"[  67.19212341  294.54318237  266.63516235  119.67321014  117.99826813
  297.84588623  231.41435242  196.69496155  362.87936401  268.06842041]"
74,"[ 661.46282959  335.73233032  507.78720093  298.59631348  289.37335205
  406.39321899  558.93029785  510.9644165   557.60632324  395.15829468]","[ 35.12424088  12.18164539  23.52700615  29.85991287  29.34387207
  13.35654068  40.46438217  25.85759735  36.7643013   28.19850922]",10.7442932129,0,2.0,"[ 294.54318237  266.63516235  119.67321014  117.99826813  297.84588623
  231.41435242  196.69496155  362.87936401  268.06842041  118.85666656]"
