,activation_0,activation_1,activation_2,activation_3,dist,id,vel
37,"[  52.14538574    9.83624554   80.0960083    15.35978794  125.29804993
  196.20066833   57.02503204  213.63781738  162.68649292   27.4026413 ]","[ 18.56348419  14.99782944  16.99568176  10.72606277  25.86762428
   5.06565619  19.22079849  13.72842121   2.0785017    1.02428198]","[ 16.15127754  31.31751633  27.89448357  16.52856445  17.03972244
   1.68613505  25.00251007   6.64661455   0.86825806   3.90963554]","[ 177.3263092   374.95431519  175.5355072   237.92420959  139.59660339
  378.02679443  258.50119019  282.37734985  415.6244812    40.29689026]",18.4370346069,2,2.0
38,"[   9.83624554   80.0960083    15.35978794  125.29804993  196.20066833
   57.02503204  213.63781738  162.68649292   27.4026413   154.33273315]","[ 14.99782944  16.99568176  10.72606277  25.86762428   5.06565619
  19.22079849  13.72842121   2.0785017    1.02428198  12.79690647]","[ 31.31751633  27.89448357  16.52856445  17.03972244   1.68613505
  25.00251007   6.64661455   0.86825806   3.90963554  11.92286682]","[ 374.95431519  175.5355072   237.92420959  139.59660339  378.02679443
  258.50119019  282.37734985  415.6244812    40.29689026    0.59839904]",18.2524185181,2,2.0
39,"[  80.0960083    15.35978794  125.29804993  196.20066833   57.02503204
  213.63781738  162.68649292   27.4026413   154.33273315  168.28935242]","[ 16.99568176  10.72606277  25.86762428   5.06565619  19.22079849
  13.72842121   2.0785017    1.02428198  12.79690647  36.39357376]","[ 27.89448357  16.52856445  17.03972244   1.68613505  25.00251007
   6.64661455   0.86825806   3.90963554  11.92286682  33.88919449]","[ 175.5355072   237.92420959  139.59660339  378.02679443  258.50119019
  282.37734985  415.6244812    40.29689026    0.59839904  280.59570312]",18.051317215,2,2.0
40,"[  15.35978794  125.29804993  196.20066833   57.02503204  213.63781738
  162.68649292   27.4026413   154.33273315  168.28935242  164.47325134]","[ 10.72606277  25.86762428   5.06565619  19.22079849  13.72842121
   2.0785017    1.02428198  12.79690647  36.39357376   9.20366478]","[ 16.52856445  17.03972244   1.68613505  25.00251007   6.64661455
   0.86825806   3.90963554  11.92286682  33.88919449  18.19072342]","[ 237.92420959  139.59660339  378.02679443  258.50119019  282.37734985
  415.6244812    40.29689026    0.59839904  280.59570312  329.98117065]",17.8499336243,2,2.0
41,"[ 125.29804993  196.20066833   57.02503204  213.63781738  162.68649292
   27.4026413   154.33273315  168.28935242  164.47325134   48.98569489]","[ 25.86762428   5.06565619  19.22079849  13.72842121   2.0785017
   1.02428198  12.79690647  36.39357376   9.20366478  46.10128784]","[ 17.03972244   1.68613505  25.00251007   6.64661455   0.86825806
   3.90963554  11.92286682  33.88919449  18.19072342  28.37957573]","[ 139.59660339  378.02679443  258.50119019  282.37734985  415.6244812
   40.29689026    0.59839904  280.59570312  329.98117065  348.79266357]",17.6480808258,2,2.0
42,"[ 196.20066833   57.02503204  213.63781738  162.68649292   27.4026413
  154.33273315  168.28935242  164.47325134   48.98569489   34.46627808]","[  5.06565619  19.22079849  13.72842121   2.0785017    1.02428198
  12.79690647  36.39357376   9.20366478  46.10128784   7.67113066]","[  1.68613505  25.00251007   6.64661455   0.86825806   3.90963554
  11.92286682  33.88919449  18.19072342  28.37957573  13.42710018]","[ 378.02679443  258.50119019  282.37734985  415.6244812    40.29689026
    0.59839904  280.59570312  329.98117065  348.79266357  225.52958679]",17.4458351135,2,2.0
43,"[  57.02503204  213.63781738  162.68649292   27.4026413   154.33273315
  168.28935242  164.47325134   48.98569489   34.46627808  114.38238525]","[ 19.22079849  13.72842121   2.0785017    1.02428198  12.79690647
  36.39357376   9.20366478  46.10128784   7.67113066   7.82277393]","[ 25.00251007   6.64661455   0.86825806   3.90963554  11.92286682
  33.88919449  18.19072342  28.37957573  13.42710018  11.07578182]","[ 258.50119019  282.37734985  415.6244812    40.29689026    0.59839904
  280.59570312  329.98117065  348.79266357  225.52958679  273.31484985]",17.2434940338,2,2.0
44,"[ 213.63781738  162.68649292   27.4026413   154.33273315  168.28935242
  164.47325134   48.98569489   34.46627808  114.38238525   80.68199921]","[ 13.72842121   2.0785017    1.02428198  12.79690647  36.39357376
   9.20366478  46.10128784   7.67113066   7.82277393  16.44908714]","[  6.64661455   0.86825806   3.90963554  11.92286682  33.88919449
  18.19072342  28.37957573  13.42710018  11.07578182  19.47690773]","[ 282.37734985  415.6244812    40.29689026    0.59839904  280.59570312
  329.98117065  348.79266357  225.52958679  273.31484985  281.3442688 ]",17.040977478,2,2.0
45,"[ 162.68649292   27.4026413   154.33273315  168.28935242  164.47325134
   48.98569489   34.46627808  114.38238525   80.68199921  266.43313599]","[  2.0785017    1.02428198  12.79690647  36.39357376   9.20366478
  46.10128784   7.67113066   7.82277393  16.44908714  45.60952759]","[  0.86825806   3.90963554  11.92286682  33.88919449  18.19072342
  28.37957573  13.42710018  11.07578182  19.47690773  43.16945648]","[ 415.6244812    40.29689026    0.59839904  280.59570312  329.98117065
  348.79266357  225.52958679  273.31484985  281.3442688   219.3881073 ]",16.8384342194,2,2.0
46,"[  27.4026413   154.33273315  168.28935242  164.47325134   48.98569489
   34.46627808  114.38238525   80.68199921  266.43313599   29.29741478]","[  1.02428198  12.79690647  36.39357376   9.20366478  46.10128784
   7.67113066   7.82277393  16.44908714  45.60952759  43.95614243]","[  3.90963554  11.92286682  33.88919449  18.19072342  28.37957573
  13.42710018  11.07578182  19.47690773  43.16945648  58.90769958]","[  40.29689026    0.59839904  280.59570312  329.98117065  348.79266357
  225.52958679  273.31484985  281.3442688   219.3881073   368.5854187 ]",16.6364803314,2,2.0
