,activation_0,activation_1,activation_2,activation_3,dist,id,vel
30,"[  65.22940826   27.22896194  201.84777832   64.4961853    67.11315155
   91.82458496   65.28704834  515.31481934  214.67114258  213.63375854]","[ 36.1324501    6.58312654   2.75071144  15.15364265   0.32106552
  24.87648964   4.94610882  14.3295269    5.03557777   8.90586567]","[ 38.69526291  10.29954815   3.90941358  24.68421364   1.35723329
  30.36983681  25.49987411   0.26933819   0.30520836   0.94888413]","[ 244.52687073  228.32791138  159.76174927  318.13839722  159.97920227
   62.11837387  337.40652466   81.27376556  117.37181091  230.27610779]",19.7867717743,2,2.0
31,"[  27.22896194  201.84777832   64.4961853    67.11315155   91.82458496
   65.28704834  515.31481934  214.67114258  213.63375854  139.03503418]","[  6.58312654   2.75071144  15.15364265   0.32106552  24.87648964
   4.94610882  14.3295269    5.03557777   8.90586567  44.25172424]","[ 10.29954815   3.90941358  24.68421364   1.35723329  30.36983681
  25.49987411   0.26933819   0.30520836   0.94888413  42.96627426]","[ 228.32791138  159.76174927  318.13839722  159.97920227   62.11837387
  337.40652466   81.27376556  117.37181091  230.27610779  211.57572937]",19.5774860382,2,2.0
32,"[ 201.84777832   64.4961853    67.11315155   91.82458496   65.28704834
  515.31481934  214.67114258  213.63375854  139.03503418  510.78204346]","[  2.75071144  15.15364265   0.32106552  24.87648964   4.94610882
  14.3295269    5.03557777   8.90586567  44.25172424  20.82223511]","[  3.90941358  24.68421364   1.35723329  30.36983681  25.49987411
   0.26933819   0.30520836   0.94888413  42.96627426   8.51298618]","[ 159.76174927  318.13839722  159.97920227   62.11837387  337.40652466
   81.27376556  117.37181091  230.27610779  211.57572937  154.00645447]",19.1625041962,2,2.0
33,"[  64.4961853    67.11315155   91.82458496   65.28704834  515.31481934
  214.67114258  213.63375854  139.03503418  510.78204346  101.94481659]","[ 15.15364265   0.32106552  24.87648964   4.94610882  14.3295269
   5.03557777   8.90586567  44.25172424  20.82223511  15.05602074]","[ 24.68421364   1.35723329  30.36983681  25.49987411   0.26933819
   0.30520836   0.94888413  42.96627426   8.51298618  15.86422443]","[ 318.13839722  159.97920227   62.11837387  337.40652466   81.27376556
  117.37181091  230.27610779  211.57572937  154.00645447   82.56584167]",18.955701828,2,2.0
34,"[  67.11315155   91.82458496   65.28704834  515.31481934  214.67114258
  213.63375854  139.03503418  510.78204346  101.94481659  676.79882812]","[  0.32106552  24.87648964   4.94610882  14.3295269    5.03557777
   8.90586567  44.25172424  20.82223511  15.05602074   0.85454947]","[  1.35723329  30.36983681  25.49987411   0.26933819   0.30520836
   0.94888413  42.96627426   8.51298618  15.86422443  18.41789436]","[ 159.97920227   62.11837387  337.40652466   81.27376556  117.37181091
  230.27610779  211.57572937  154.00645447   82.56584167  128.31889343]",18.5397262573,2,2.0
35,"[  91.82458496   65.28704834  515.31481934  214.67114258  213.63375854
  139.03503418  510.78204346  101.94481659  676.79882812  484.66241455]","[ 24.87648964   4.94610882  14.3295269    5.03557777   8.90586567
  44.25172424  20.82223511  15.05602074   0.85454947  46.29085159]","[ 30.36983681  25.49987411   0.26933819   0.30520836   0.94888413
  42.96627426   8.51298618  15.86422443  18.41789436  61.79834366]","[  62.11837387  337.40652466   81.27376556  117.37181091  230.27610779
  211.57572937  154.00645447   82.56584167  128.31889343   22.54323006]",18.1233196259,2,2.0
36,"[  65.28704834  515.31481934  214.67114258  213.63375854  139.03503418
  510.78204346  101.94481659  676.79882812  484.66241455   52.18809891]","[  4.94610882  14.3295269    5.03557777   8.90586567  44.25172424
  20.82223511  15.05602074   0.85454947  46.29085159  11.03614521]","[ 25.49987411   0.26933819   0.30520836   0.94888413  42.96627426
   8.51298618  15.86422443  18.41789436  61.79834366   2.06043291]","[ 337.40652466   81.27376556  117.37181091  230.27610779  211.57572937
  154.00645447   82.56584167  128.31889343   22.54323006  137.10700989]",17.9141616821,2,2.0
37,"[ 515.31481934  214.67114258  213.63375854  139.03503418  510.78204346
  101.94481659  676.79882812  484.66241455   52.18809891  800.29241943]","[ 14.3295269    5.03557777   8.90586567  44.25172424  20.82223511
  15.05602074   0.85454947  46.29085159  11.03614521  47.4956398 ]","[  0.26933819   0.30520836   0.94888413  42.96627426   8.51298618
  15.86422443  18.41789436  61.79834366   2.06043291  62.3295517 ]","[  81.27376556  117.37181091  230.27610779  211.57572937  154.00645447
   82.56584167  128.31889343   22.54323006  137.10700989    1.16678548]",17.49700737,2,2.0
38,"[ 214.67114258  213.63375854  139.03503418  510.78204346  101.94481659
  676.79882812  484.66241455   52.18809891  800.29241943  594.69207764]","[  5.03557777   8.90586567  44.25172424  20.82223511  15.05602074
   0.85454947  46.29085159  11.03614521  47.4956398   57.10794067]","[   0.30520836    0.94888413   42.96627426    8.51298618   15.86422443
   18.41789436   61.79834366    2.06043291   62.3295517   108.9987793 ]","[ 117.37181091  230.27610779  211.57572937  154.00645447   82.56584167
  128.31889343   22.54323006  137.10700989    1.16678548  301.11456299]",17.0794296265,2,2.0
39,"[ 213.63375854  139.03503418  510.78204346  101.94481659  676.79882812
  484.66241455   52.18809891  800.29241943  594.69207764   32.24272537]","[  8.90586567  44.25172424  20.82223511  15.05602074   0.85454947
  46.29085159  11.03614521  47.4956398   57.10794067   4.60567474]","[   0.94888413   42.96627426    8.51298618   15.86422443   18.41789436
   61.79834366    2.06043291   62.3295517   108.9987793    10.97486782]","[ 230.27610779  211.57572937  154.00645447   82.56584167  128.31889343
   22.54323006  137.10700989    1.16678548  301.11456299   41.28768921]",16.8712387085,2,2.0
