,activation,activation_gradient,distance,fov_x,velocity
220,0.45829506363,,2.78,45,1.0
221,0.413743367368,,2.68,45,1.0
222,0.422639334642,,2.58,45,0.99
223,0.432892707721,,2.47,45,1.0
224,0.44510092922,,2.37,45,1.0
225,0.431665886925,,2.27,45,1.0
226,0.476538464686,,2.17,45,0.99
227,0.462655173619,,2.07,45,0.99
228,0.495333278489,,1.96,45,0.99
229,0.473433009515,,1.86,45,0.99
230,0.520450153307,,1.76,45,0.99
231,0.537867426532,,1.66,45,0.99
232,0.535639283511,,1.55,45,0.99
233,0.560558288406,,1.45,45,0.99
234,0.56398016041,,1.35,45,0.99
235,0.599688315212,,1.24,45,0.99
236,0.610963821029,,1.14,45,0.99
237,0.602420637329,,1.04,45,0.99
238,0.614710412738,,0.94,45,0.99
239,0.645759100566,,0.83,45,0.99
240,0.710336416344,,0.73,45,0.99
241,0.696537304437,,0.63,45,0.99
242,0.721916190838,,0.53,45,1.0
243,,,0.42,45,0.99
244,,,0.32,45,1.0
245,,,25.28,45,-0.05
246,0.00701377023344,,25.27,45,-0.03
247,-0.254228629835,,25.27,45,0.05
248,-0.332990610371,,25.25,45,0.18
249,-0.347898699807,,25.22,45,0.37
250,0.154856254274,,25.17,45,0.55
251,0.308084878347,,25.1,45,0.68
252,0.0504988673995,,25.03,45,0.77
253,-0.123351204843,,24.94,45,0.83
254,-0.0740557624304,,24.85,45,0.86
255,-0.0158055979162,,24.76,45,0.89
256,0.0614755080392,,24.66,45,0.91
257,0.0705392825447,,24.57,45,0.93
258,0.0699724651342,,24.46,45,0.95
259,0.064167837381,,24.36,45,0.97
260,0.0668215093886,,24.26,45,0.97
261,0.0775641016946,,24.16,45,0.98
262,0.0919556298673,,24.05,45,0.99
263,0.0494455752742,,23.95,45,0.99
264,0.0729040071714,,23.84,45,1.0
265,,,23.74,45,1.0
266,0.160048537373,,23.63,45,1.01
267,0.0554835288638,,23.53,45,1.01
268,0.0693803626748,,23.42,45,1.01
269,0.0793112575052,,23.31,45,1.02
270,0.0740849753844,,23.2,45,1.02
271,0.0673407229485,,23.09,45,1.02
272,0.0944061721636,,22.98,45,1.02
273,0.0705943975699,,22.87,45,1.02
274,,,22.76,45,1.02
275,0.174953264647,,22.66,45,1.02
276,0.0696558187888,,22.55,45,1.02
277,0.0743778733474,,22.44,45,1.02
278,0.108431216505,,22.33,45,1.02
279,0.0530432348972,,22.22,45,1.02
280,0.0692088070139,,22.11,45,1.03
281,0.0835152090914,,22.0,45,1.03
282,0.0881723702285,,21.89,45,1.03
283,,,21.77,45,1.03
284,0.180886325198,,21.66,45,1.03
285,0.0608798872727,,21.55,45,1.03
286,0.0761428296824,,21.44,45,1.03
287,0.0745497221901,,21.33,45,1.03
288,0.0950429617437,,21.21,45,1.03
289,0.0706698573694,,21.11,45,1.03
290,0.0917678187754,,21.0,45,1.03
291,0.0711066973658,,20.89,45,1.03
292,0.0825258103741,,20.78,45,1.03
293,0.0493321735454,,20.67,45,1.02
294,0.0789835515092,,20.56,45,1.02
295,0.0702156810638,,20.45,45,1.02
296,0.075439279637,,20.34,45,1.02
297,0.0608807836186,,20.23,45,1.02
298,0.0877690869386,,20.12,45,1.02
299,0.0608380894066,,20.01,45,1.02
300,0.0963403474255,,19.9,45,1.02
301,0.077088329544,,19.8,45,1.02
302,0.100013321332,,19.69,45,1.02
303,0.0804647284708,,19.58,45,1.02
304,0.0890024992747,,19.48,45,1.02
305,0.04722298665,,19.37,45,1.02
306,0.0780592105928,,19.26,45,1.02
307,0.0745730063655,,19.15,45,1.02
308,0.113125824933,,19.04,45,1.02
309,0.0597384493384,,18.94,45,1.02
310,0.0726383944454,,18.83,45,1.01
311,0.0745653619326,,18.72,45,1.01
312,0.106287631546,,18.61,45,1.01
313,0.0546554758852,,18.51,45,1.01
314,0.0594117773256,,18.4,45,1.01
315,0.0778330943404,,18.29,45,1.01
316,0.0886331236531,,18.19,45,1.01
317,0.0833132719886,,18.08,45,1.01
318,0.0706975546407,,17.98,45,1.01
319,0.044242104587,,17.87,45,1.01
320,0.0825615466521,,17.76,45,1.01
321,0.0778376408169,,17.66,45,1.01
322,0.100389291637,,17.55,45,1.01
323,0.0783302674687,,17.44,45,1.01
324,0.0818060292327,,17.34,45,1.01
325,0.0788063142848,,17.23,45,1.01
326,0.0685122634942,,17.12,45,1.01
327,0.0630297279439,,17.02,45,1.0
328,0.0994465023898,,16.92,45,1.0
329,0.0695436036692,,16.81,45,1.0
330,0.0772317622593,,16.71,45,1.01
331,0.0467793443797,,16.6,45,1.01
332,0.102419464333,,16.49,45,1.01
333,0.0245467225608,,16.39,45,1.01
334,0.0961868765275,,16.28,45,1.01
335,0.0676650732387,,16.17,45,1.01
336,0.0535159616258,,16.07,45,1.01
337,0.0638681027937,,15.96,45,1.01
338,0.102610889278,,15.85,45,1.01
339,0.0699835825145,,15.75,45,1.01
340,0.0782988934074,,15.63,45,1.01
341,0.0678137760361,,15.54,45,1.01
342,0.060641528078,,15.43,45,1.01
343,0.0654834857797,,15.33,45,1.01
344,0.0842483709429,,15.23,45,1.01
