,activation_0,activation_1,activation_2,dist,id,vel
37,"[ 2612.52734375  2612.52734375  3156.2734375   3156.2734375   4700.35351562
  4700.35351562  4700.35351562  4020.52783203  4020.52783203  3435.90112305]","[ 75.21530914  75.21530914  61.90776062  61.90776062  48.83341599
  48.83341599  48.83341599  69.80664825  69.80664825  61.0596962 ]","[ 6282.83203125  6282.83203125  5674.03369141  5674.03369141  6531.86523438
  6531.86523438  6531.86523438  5388.48828125  5388.48828125  6210.40576172]",14.8348283768,1,2.0
38,"[ 2612.52734375  3156.2734375   3156.2734375   4700.35351562  4700.35351562
  4700.35351562  4020.52783203  4020.52783203  3435.90112305  3435.90112305]","[ 75.21530914  61.90776062  61.90776062  48.83341599  48.83341599
  48.83341599  69.80664825  69.80664825  61.0596962   61.0596962 ]","[ 6282.83203125  5674.03369141  5674.03369141  6531.86523438  6531.86523438
  6531.86523438  5388.48828125  5388.48828125  6210.40576172  6210.40576172]",14.7677879333,1,2.0
39,"[ 3156.2734375   3156.2734375   4700.35351562  4700.35351562  4700.35351562
  4020.52783203  4020.52783203  3435.90112305  3435.90112305  3435.90112305]","[ 61.90776062  61.90776062  48.83341599  48.83341599  48.83341599
  69.80664825  69.80664825  61.0596962   61.0596962   61.0596962 ]","[ 5674.03369141  5674.03369141  6531.86523438  6531.86523438  6531.86523438
  5388.48828125  5388.48828125  6210.40576172  6210.40576172  6210.40576172]",14.7090644836,1,2.0
40,"[ 3156.2734375   4700.35351562  4700.35351562  4700.35351562  4020.52783203
  4020.52783203  3435.90112305  3435.90112305  3435.90112305  3936.5300293 ]","[ 61.90776062  48.83341599  48.83341599  48.83341599  69.80664825
  69.80664825  61.0596962   61.0596962   61.0596962   87.80344391]","[ 5674.03369141  6531.86523438  6531.86523438  6531.86523438  5388.48828125
  5388.48828125  6210.40576172  6210.40576172  6210.40576172  6762.58154297]",14.6255645752,1,2.0
41,"[ 4700.35351562  4700.35351562  4700.35351562  4020.52783203  4020.52783203
  3435.90112305  3435.90112305  3435.90112305  3936.5300293   3936.5300293 ]","[ 48.83341599  48.83341599  48.83341599  69.80664825  69.80664825
  61.0596962   61.0596962   61.0596962   87.80344391  87.80344391]","[ 6531.86523438  6531.86523438  6531.86523438  5388.48828125  5388.48828125
  6210.40576172  6210.40576172  6210.40576172  6762.58154297  6762.58154297]",14.5589780807,1,2.0
42,"[ 4700.35351562  4700.35351562  4020.52783203  4020.52783203  3435.90112305
  3435.90112305  3435.90112305  3936.5300293   3936.5300293   3361.97216797]","[ 48.83341599  48.83341599  69.80664825  69.80664825  61.0596962
  61.0596962   61.0596962   87.80344391  87.80344391   3.44259238]","[ 6531.86523438  6531.86523438  5388.48828125  5388.48828125  6210.40576172
  6210.40576172  6210.40576172  6762.58154297  6762.58154297  7570.50488281]",14.5007047653,1,2.0
43,"[ 4700.35351562  4020.52783203  4020.52783203  3435.90112305  3435.90112305
  3435.90112305  3936.5300293   3936.5300293   3361.97216797  3361.97216797]","[ 48.83341599  69.80664825  69.80664825  61.0596962   61.0596962
  61.0596962   87.80344391  87.80344391   3.44259238   3.44259238]","[ 6531.86523438  5388.48828125  5388.48828125  6210.40576172  6210.40576172
  6210.40576172  6762.58154297  6762.58154297  7570.50488281  7570.50488281]",14.3500728607,1,2.0
44,"[ 4020.52783203  4020.52783203  3435.90112305  3435.90112305  3435.90112305
  3936.5300293   3936.5300293   3361.97216797  3361.97216797  3361.97216797]","[ 69.80664825  69.80664825  61.0596962   61.0596962   61.0596962
  87.80344391  87.80344391   3.44259238   3.44259238   3.44259238]","[ 5388.48828125  5388.48828125  6210.40576172  6210.40576172  6210.40576172
  6762.58154297  6762.58154297  7570.50488281  7570.50488281  7570.50488281]",14.2913360596,1,2.0
45,"[ 4020.52783203  3435.90112305  3435.90112305  3435.90112305  3936.5300293
  3936.5300293   3361.97216797  3361.97216797  3361.97216797  3361.97216797]","[ 69.80664825  61.0596962   61.0596962   61.0596962   87.80344391
  87.80344391   3.44259238   3.44259238   3.44259238   3.44259238]","[ 5388.48828125  6210.40576172  6210.40576172  6210.40576172  6762.58154297
  6762.58154297  7570.50488281  7570.50488281  7570.50488281  7570.50488281]",14.2077684402,1,2.0
46,"[ 3435.90112305  3435.90112305  3435.90112305  3936.5300293   3936.5300293
  3361.97216797  3361.97216797  3361.97216797  3361.97216797  3361.97216797]","[ 61.0596962   61.0596962   61.0596962   87.80344391  87.80344391
   3.44259238   3.44259238   3.44259238   3.44259238   3.44259238]","[ 6210.40576172  6210.40576172  6210.40576172  6762.58154297  6762.58154297
  7570.50488281  7570.50488281  7570.50488281  7570.50488281  7570.50488281]",14.1411838531,1,2.0
47,"[ 3435.90112305  3435.90112305  3936.5300293   3936.5300293   3361.97216797
  3361.97216797  3361.97216797  3361.97216797  3361.97216797  3361.97216797]","[ 61.0596962   61.0596962   87.80344391  87.80344391   3.44259238
   3.44259238   3.44259238   3.44259238   3.44259238   3.44259238]","[ 6210.40576172  6210.40576172  6762.58154297  6762.58154297  7570.50488281
  7570.50488281  7570.50488281  7570.50488281  7570.50488281  7570.50488281]",14.08294487,1,2.0
48,"[ 3435.90112305  3936.5300293   3936.5300293   3361.97216797  3361.97216797
  3361.97216797  3361.97216797  3361.97216797  3361.97216797  2150.28857422]","[ 61.0596962   87.80344391  87.80344391   3.44259238   3.44259238
   3.44259238   3.44259238   3.44259238   3.44259238  72.48395538]","[  6210.40576172   6762.58154297   6762.58154297   7570.50488281
   7570.50488281   7570.50488281   7570.50488281   7570.50488281
   7570.50488281  12448.37109375]",13.999997139,1,2.0
49,"[ 3936.5300293   3936.5300293   3361.97216797  3361.97216797  3361.97216797
  3361.97216797  3361.97216797  3361.97216797  2150.28857422  2150.28857422]","[ 87.80344391  87.80344391   3.44259238   3.44259238   3.44259238
   3.44259238   3.44259238   3.44259238  72.48395538  72.48395538]","[  6762.58154297   6762.58154297   7570.50488281   7570.50488281
   7570.50488281   7570.50488281   7570.50488281   7570.50488281
  12448.37109375  12448.37109375]",13.9338293076,1,2.0
50,"[ 3936.5300293   3361.97216797  3361.97216797  3361.97216797  3361.97216797
  3361.97216797  3361.97216797  2150.28857422  2150.28857422  2150.28857422]","[ 87.80344391   3.44259238   3.44259238   3.44259238   3.44259238
   3.44259238   3.44259238  72.48395538  72.48395538  72.48395538]","[  6762.58154297   7570.50488281   7570.50488281   7570.50488281
   7570.50488281   7570.50488281   7570.50488281  12448.37109375
  12448.37109375  12448.37109375]",13.8759555817,1,2.0
51,"[ 3361.97216797  3361.97216797  3361.97216797  3361.97216797  3361.97216797
  3361.97216797  2150.28857422  2150.28857422  2150.28857422  3177.11962891]","[  3.44259238   3.44259238   3.44259238   3.44259238   3.44259238
   3.44259238  72.48395538  72.48395538  72.48395538  27.98715973]","[  7570.50488281   7570.50488281   7570.50488281   7570.50488281
   7570.50488281   7570.50488281  12448.37109375  12448.37109375
  12448.37109375   7632.13867188]",13.7934703827,1,2.0
52,"[ 3361.97216797  3361.97216797  3361.97216797  3361.97216797  3361.97216797
  2150.28857422  2150.28857422  2150.28857422  3177.11962891  3177.11962891]","[  3.44259238   3.44259238   3.44259238   3.44259238   3.44259238
  72.48395538  72.48395538  72.48395538  27.98715973  27.98715973]","[  7570.50488281   7570.50488281   7570.50488281   7570.50488281
   7570.50488281  12448.37109375  12448.37109375  12448.37109375
   7632.13867188   7632.13867188]",13.7276029587,1,2.0
53,"[ 3361.97216797  3361.97216797  3361.97216797  3361.97216797  2150.28857422
  2150.28857422  2150.28857422  3177.11962891  3177.11962891  3988.32519531]","[  3.44259238   3.44259238   3.44259238   3.44259238  72.48395538
  72.48395538  72.48395538  27.98715973  27.98715973  70.0532608 ]","[  7570.50488281   7570.50488281   7570.50488281   7570.50488281
  12448.37109375  12448.37109375  12448.37109375   7632.13867188
   7632.13867188   6998.94580078]",13.6690616608,1,2.0
54,"[ 3361.97216797  3361.97216797  3361.97216797  2150.28857422  2150.28857422
  2150.28857422  3177.11962891  3177.11962891  3988.32519531  3988.32519531]","[  3.44259238   3.44259238   3.44259238  72.48395538  72.48395538
  72.48395538  27.98715973  27.98715973  70.0532608   70.0532608 ]","[  7570.50488281   7570.50488281   7570.50488281  12448.37109375
  12448.37109375  12448.37109375   7632.13867188   7632.13867188
   6998.94580078   6998.94580078]",13.518494606,1,2.0
55,"[ 3361.97216797  3361.97216797  2150.28857422  2150.28857422  2150.28857422
  3177.11962891  3177.11962891  3988.32519531  3988.32519531  3988.32519531]","[  3.44259238   3.44259238  72.48395538  72.48395538  72.48395538
  27.98715973  27.98715973  70.0532608   70.0532608   70.0532608 ]","[  7570.50488281   7570.50488281  12448.37109375  12448.37109375
  12448.37109375   7632.13867188   7632.13867188   6998.94580078
   6998.94580078   6998.94580078]",13.4600381851,1,2.0
56,"[ 3361.97216797  2150.28857422  2150.28857422  2150.28857422  3177.11962891
  3177.11962891  3988.32519531  3988.32519531  3988.32519531  3217.71142578]","[  3.44259238  72.48395538  72.48395538  72.48395538  27.98715973
  27.98715973  70.0532608   70.0532608   70.0532608   86.45433807]","[  7570.50488281  12448.37109375  12448.37109375  12448.37109375
   7632.13867188   7632.13867188   6998.94580078   6998.94580078
   6998.94580078   6991.96337891]",13.3768758774,1,2.0
57,"[ 2150.28857422  2150.28857422  2150.28857422  3177.11962891  3177.11962891
  3988.32519531  3988.32519531  3988.32519531  3217.71142578  3217.71142578]","[ 72.48395538  72.48395538  72.48395538  27.98715973  27.98715973
  70.0532608   70.0532608   70.0532608   86.45433807  86.45433807]","[ 12448.37109375  12448.37109375  12448.37109375   7632.13867188
   7632.13867188   6998.94580078   6998.94580078   6998.94580078
   6991.96337891   6991.96337891]",13.3105926514,1,2.0
58,"[ 2150.28857422  2150.28857422  3177.11962891  3177.11962891  3988.32519531
  3988.32519531  3988.32519531  3217.71142578  3217.71142578  3846.57519531]","[ 72.48395538  72.48395538  27.98715973  27.98715973  70.0532608
  70.0532608   70.0532608   86.45433807  86.45433807  54.58670044]","[ 12448.37109375  12448.37109375   7632.13867188   7632.13867188
   6998.94580078   6998.94580078   6998.94580078   6991.96337891
   6991.96337891   7665.49316406]",13.1676073074,1,2.0
59,"[ 2150.28857422  3177.11962891  3177.11962891  3988.32519531  3988.32519531
  3988.32519531  3217.71142578  3217.71142578  3846.57519531  3846.57519531]","[ 72.48395538  27.98715973  27.98715973  70.0532608   70.0532608
  70.0532608   86.45433807  86.45433807  54.58670044  54.58670044]","[ 12448.37109375   7632.13867188   7632.13867188   6998.94580078
   6998.94580078   6998.94580078   6991.96337891   6991.96337891
   7665.49316406   7665.49316406]",13.1004257202,1,2.0
60,"[ 3177.11962891  3177.11962891  3988.32519531  3988.32519531  3988.32519531
  3217.71142578  3217.71142578  3846.57519531  3846.57519531  3846.57519531]","[ 27.98715973  27.98715973  70.0532608   70.0532608   70.0532608
  86.45433807  86.45433807  54.58670044  54.58670044  54.58670044]","[ 7632.13867188  7632.13867188  6998.94580078  6998.94580078  6998.94580078
  6991.96337891  6991.96337891  7665.49316406  7665.49316406  7665.49316406]",13.0415592194,1,2.0
61,"[ 3177.11962891  3988.32519531  3988.32519531  3988.32519531  3217.71142578
  3217.71142578  3846.57519531  3846.57519531  3846.57519531  4971.33251953]","[ 27.98715973  70.0532608   70.0532608   70.0532608   86.45433807
  86.45433807  54.58670044  54.58670044  54.58670044  67.08812714]","[ 7632.13867188  6998.94580078  6998.94580078  6998.94580078  6991.96337891
  6991.96337891  7665.49316406  7665.49316406  7665.49316406  7097.53125   ]",12.9578895569,1,2.0
62,"[ 3988.32519531  3988.32519531  3988.32519531  3217.71142578  3217.71142578
  3846.57519531  3846.57519531  3846.57519531  4971.33251953  4971.33251953]","[ 70.0532608   70.0532608   70.0532608   86.45433807  86.45433807
  54.58670044  54.58670044  54.58670044  67.08812714  67.08812714]","[ 6998.94580078  6998.94580078  6998.94580078  6991.96337891  6991.96337891
  7665.49316406  7665.49316406  7665.49316406  7097.53125     7097.53125   ]",12.8912754059,1,2.0
63,"[ 3988.32519531  3988.32519531  3217.71142578  3217.71142578  3846.57519531
  3846.57519531  3846.57519531  4971.33251953  4971.33251953  3038.14282227]","[ 70.0532608   70.0532608   86.45433807  86.45433807  54.58670044
  54.58670044  54.58670044  67.08812714  67.08812714  33.29353333]","[ 6998.94580078  6998.94580078  6991.96337891  6991.96337891  7665.49316406
  7665.49316406  7665.49316406  7097.53125     7097.53125     8167.95361328]",12.832947731,1,2.0
